city,state,latitude,longitude,population,msa,new_msa
creve coeur,pamplemousses,-20.19346,57.56328,3097,,mauritius__port louis__port louis__MSA
cluny,grand port,-20.36694,57.60389,1629,,mauritius__port louis__port louis__MSA
albion,black river,-20.20814,57.40766,3254,,mauritius__port louis__port louis__MSA
reduit,moka,-20.2344,57.4939,0,,mauritius__port louis__port louis__MSA
beau bassin rose hill,plaines wilhems,-20.23325,57.46609,111355,,mauritius__port louis__port louis__MSA
flic en flac,black river,-20.27417,57.36306,2010,,mauritius__port louis__port louis__MSA
centre de flacq,flacq,-20.18972,57.71444,17710,,mauritius__port louis__port louis__MSA
riviere du rempart,riviere du rempart,-20.10306,57.68472,11675,,mauritius__port louis__port louis__MSA
arsenal,pamplemousses,-20.10556,57.53528,2599,,mauritius__port louis__port louis__MSA
notre dame,pamplemousses,-20.14298,57.55969,3959,,mauritius__port louis__port louis__MSA
pailles,moka,-20.19271,57.48826,10622,,mauritius__port louis__port louis__MSA
riche terre,pamplemousses,-20.1331,57.5247,0,,mauritius__port louis__port louis__MSA
pamplemousses,pamplemousses,-20.10389,57.57028,8836,,mauritius__port louis__port louis__MSA
midlands,plaines wilhems,-20.31907,57.57016,4546,,mauritius__port louis__port louis__MSA
port louis,port louis,-20.16194,57.49889,155226,,mauritius__port louis__port louis__MSA
curepipe,plaines wilhems,-20.31628,57.52594,84200,,mauritius__port louis__port louis__MSA
vacoas,plaines wilhems,-20.29806,57.47833,110000,,mauritius__port louis__port louis__MSA
beau bassin,plaines wilhems,-20.2276,57.4681,0,,mauritius__port louis__port louis__MSA
moka,moka,-20.21904,57.51083,8842,,mauritius__port louis__port louis__MSA
quatre bornes,plaines wilhems,-20.26381,57.4791,80961,,mauritius__port louis__port louis__MSA
ebene,plaines wilhems,-20.24494,57.49163,1001,,mauritius__port louis__port louis__MSA
highlands,plaines wilhems,-20.278,57.5163,0,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,mauritius__port louis__port louis__MSA
marina,split dalmatia,43.51472,16.10639,1117,,croatia__split dalmatia__split__MSA
sesvete,city of zagreb,45.83111,16.11639,52411,,croatia__city of zagreb__zagreb__MSA
cakovec,međimurska,46.38444,16.43389,15867,,croatia__city of zagreb__zagreb__MSA
rovinj,istria,45.08268,13.63457,13533,,croatia__primorsko goranska__rijeka__MSA
zadar,zadarska,44.11578,15.22514,71258,,croatia__zadarska__zadar__MSA
zapresic,zagrebacka,45.85639,15.80778,19664,,croatia__city of zagreb__zagreb__MSA
vinkovci,vukovar sirmium,45.28833,18.80472,33314,,croatia__osjecko baranjska__osijek__MSA
varazdin,varazdinska,46.30444,16.33778,41808,,croatia__city of zagreb__zagreb__MSA
samobor,zagrebacka,45.80306,15.71806,15956,,croatia__city of zagreb__zagreb__MSA
zagreb,city of zagreb,45.81444,15.97798,698966,,croatia__city of zagreb__zagreb__MSA
rijeka,primorsko goranska,45.32673,14.44241,141172,,croatia__primorsko goranska__rijeka__MSA
slavonski brod,slavonski brod posavina,45.16028,18.01556,60742,,croatia__osjecko baranjska__osijek__MSA
velika gorica,zagrebacka,45.7125,16.07556,31553,,croatia__city of zagreb__zagreb__MSA
pula,istria,44.86833,13.84806,59078,,croatia__primorsko goranska__rijeka__MSA
split,split dalmatia,43.50891,16.43915,176314,,croatia__split dalmatia__split__MSA
osijek,osjecko baranjska,45.55111,18.69389,88140,,croatia__osjecko baranjska__osijek__MSA
opatija,primorsko goranska,45.33658,14.30782,7888,,croatia__primorsko goranska__rijeka__MSA
virovitica,virovitick podravska,45.83194,17.38389,15665,,croatia__virovitick podravska__NONMETROPOLITAN AREA
kutina,sisacko moslavacka,45.475,16.78194,14886,,croatia__sisacko moslavacka__NONMETROPOLITAN AREA
makarska,split dalmatia,43.29694,17.01778,13426,,croatia__split dalmatia__NONMETROPOLITAN AREA
pozega,pozesko slavonska,45.34028,17.68528,21153,,croatia__pozesko slavonska__NONMETROPOLITAN AREA
sibenik,sibensko kniniska,43.73429,15.8942,37112,,croatia__sibensko kniniska__NONMETROPOLITAN AREA
dubrovnik,dubrovacko neretvanska,42.64125,18.10909,28428,,croatia__dubrovacko neretvanska__NONMETROPOLITAN AREA
umag,istria,45.43139,13.52389,7807,,croatia__istria__NONMETROPOLITAN AREA
porec,istria,45.22567,13.59511,10499,,croatia__istria__NONMETROPOLITAN AREA
bjelovar,bjelovarsko bilogorska,45.89861,16.84889,28275,,croatia__bjelovarsko bilogorska__NONMETROPOLITAN AREA
sisak,sisacko moslavacka,45.46611,16.37833,35748,,croatia__sisacko moslavacka__NONMETROPOLITAN AREA
vukovar,vukovar sirmium,45.35161,19.00225,29584,,croatia__vukovar sirmium__NONMETROPOLITAN AREA
koprivnica,koprivnicko krizevacka,46.16278,16.8275,25579,,croatia__koprivnicko krizevacka__NONMETROPOLITAN AREA
andersen afb,chungnam,13.5637,144.926,0,,guam__chungnam__NONMETROPOLITAN AREA
santa rita village,santa rita,13.38608,144.67226,7500,,guam__santa rita__NONMETROPOLITAN AREA
hagatna,hagatna,13.47567,144.74886,1051,,guam__hagatna__NONMETROPOLITAN AREA
tamuning,tamuning,13.48754,144.78143,19685,,guam__tamuning__NONMETROPOLITAN AREA
colegiales,buenos aires f d,-34.57365,-58.44924,57000,,argentina__buenos aires f d__buenos aires__MSA
villa bosch,buenos aires,-34.5857,-58.577,0,,argentina__buenos aires f d__buenos aires__MSA
canning,buenos aires,-34.8833,-58.5167,0,,argentina__buenos aires f d__buenos aires__MSA
rio piedras,salta,-25.3,-64.9,0,,argentina__salta__salta__MSA
punta alta,buenos aires,-38.87588,-62.07359,57209,,argentina__buenos aires__bahia blanca__MSA
la calera,cordoba,-31.34377,-64.33529,24796,,argentina__cordoba__cordoba__MSA
san luis,san luis,-33.29501,-66.33563,183982,,argentina__san luis__san luis__MSA
tandil,buenos aires,-37.32167,-59.13316,104325,,argentina__buenos aires__tandil__MSA
quilmes,buenos aires,-34.72904,-58.26374,230000,,argentina__buenos aires f d__buenos aires__MSA
san isidro,buenos aires,-34.4721,-58.52708,45190,,argentina__buenos aires f d__buenos aires__MSA
moron,buenos aires,-34.6509,-58.61956,319934,,argentina__buenos aires f d__buenos aires__MSA
campana,buenos aires,-34.16327,-58.95919,81612,,argentina__buenos aires f d__buenos aires__MSA
bahia blanca,buenos aires,-38.71959,-62.27243,276546,,argentina__buenos aires__bahia blanca__MSA
gualeguaychu,entre rios,-33.00937,-58.51722,78676,,argentina__entre rios__gualeguaychu__MSA
godoy cruz,mendoza,-32.9167,-68.8333,191299,,argentina__mendoza__mendoza__MSA
villa carlos paz,cordoba,-31.42414,-64.49778,69451,,argentina__cordoba__cordoba__MSA
florencio varela,buenos aires,-34.8167,-58.2833,426005,,argentina__buenos aires f d__buenos aires__MSA
lomas de zamora,buenos aires,-34.7667,-58.4,112580,,argentina__buenos aires f d__buenos aires__MSA
tortuguitas,buenos aires,-34.47513,-58.75367,41390,,argentina__buenos aires f d__buenos aires__MSA
balvanera,buenos aires f d,-34.61032,-58.39766,152198,,argentina__buenos aires f d__buenos aires__MSA
avellaneda,santa fe,-29.11761,-59.65834,23341,,argentina__santa fe__reconquista__MSA
munro,buenos aires,-34.5333,-58.5167,35844,,argentina__buenos aires f d__buenos aires__MSA
general rodriguez,buenos aires,-34.6167,-58.95,0,,argentina__buenos aires f d__buenos aires__MSA
martinez,buenos aires,-34.4922,-58.5089,0,,argentina__buenos aires f d__buenos aires__MSA
olavarria,buenos aires,-36.89272,-60.32254,86320,,argentina__buenos aires__olavarria__MSA
villa ballester,buenos aires,-34.5167,-58.5333,0,,argentina__buenos aires f d__buenos aires__MSA
caseros,buenos aires,-34.6167,-58.5333,95785,,argentina__buenos aires f d__buenos aires__MSA
san pedro,buenos aires,-33.67918,-59.66633,47452,,argentina__buenos aires__zarate__MSA
merlo,buenos aires,-34.66627,-58.72927,244168,,argentina__buenos aires f d__buenos aires__MSA
devoto,cordoba,-31.40431,-62.30634,5597,,argentina__santa fe__rafaela__MSA
don torcuato,buenos aires,-34.49459,-58.62729,64867,,argentina__buenos aires f d__buenos aires__MSA
mercedes,buenos aires,-34.65145,-59.43068,52949,,argentina__buenos aires__zarate__MSA
funes,santa fe,-32.91568,-60.80995,14750,,argentina__santa fe__rosario__MSA
reconquista,santa fe,-29.15,-59.65,90184,,argentina__santa fe__reconquista__MSA
canuelas,buenos aires,-35.0518,-58.7606,0,,argentina__buenos aires f d__buenos aires__MSA
bella vista,buenos aires,-34.5333,-58.6667,72000,,argentina__buenos aires f d__buenos aires__MSA
boedo,buenos aires f d,-34.63333,-58.41667,48231,,argentina__buenos aires f d__buenos aires__MSA
barracas,buenos aires f d,-34.64966,-58.38341,77474,,argentina__buenos aires f d__buenos aires__MSA
villa urquiza,entre rios,-31.64757,-60.37516,1566,,argentina__santa fe__santa fe__MSA
necochea,buenos aires,-38.5545,-58.73961,80478,,argentina__buenos aires__necochea__MSA
granadero baigorria,santa fe,-32.85683,-60.71754,32427,,argentina__santa fe__rosario__MSA
los polvorines,buenos aires,-34.50316,-58.70596,53354,,argentina__buenos aires f d__buenos aires__MSA
beccar,buenos aires,-34.4664,-58.5417,0,,argentina__buenos aires f d__buenos aires__MSA
berisso,buenos aires,-34.8667,-57.8667,101123,,argentina__buenos aires f d__buenos aires__MSA
cerrillos,salta,-24.9,-65.4833,11498,,argentina__salta__salta__MSA
benavidez,buenos aires,-34.4089,-58.686,0,,argentina__buenos aires f d__buenos aires__MSA
rawson,chubut,-43.30016,-65.10228,26335,,argentina__chubut__trelew__MSA
santiago del estero,santiago del estero,-27.79511,-64.26149,354692,,argentina__santiago del estero__santiago del estero__MSA
haedo,buenos aires,-34.65,-58.6,37745,,argentina__buenos aires f d__buenos aires__MSA
malvinas argentinas,cordoba,-31.38194,-64.05545,8628,,argentina__cordoba__cordoba__MSA
lujan,buenos aires,-34.57028,-59.105,81749,,argentina__buenos aires f d__buenos aires__MSA
corrientes,corrientes,-27.46784,-58.8344,339067,,argentina__chaco__resistencia__MSA
tartagal,salta,-22.51637,-63.80131,60819,,argentina__salta__tartagal__MSA
zarate,buenos aires,-34.09814,-59.02858,88781,,argentina__buenos aires__zarate__MSA
villa allende,cordoba,-31.29458,-64.29538,21683,,argentina__cordoba__cordoba__MSA
adrogue,buenos aires,-34.80041,-58.38384,28265,,argentina__buenos aires f d__buenos aires__MSA
general roca,rio negro,-39.03333,-67.58333,73212,,argentina__neuquen__neuquen__MSA
almirante brown,buenos aires,-34.7833,-58.4,0,,argentina__buenos aires f d__buenos aires__MSA
la rioja,la rioja,-29.41105,-66.85067,162620,,argentina__la rioja__la rioja__MSA
san francisco,cordoba,-31.42797,-62.08266,59062,San Francisco-Oakland-Fremont CA MSA,argentina__santa fe__rafaela__MSA
lanus,buenos aires,-34.7,-58.4,459263,,argentina__buenos aires f d__buenos aires__MSA
tigre,buenos aires,-34.42603,-58.57962,31106,,argentina__buenos aires f d__buenos aires__MSA
hurlingham,buenos aires,-34.5904,-58.62904,60000,,argentina__buenos aires f d__buenos aires__MSA
saladillo,buenos aires,-35.6371,-59.7779,0,,argentina__buenos aires__buenos aires__MSA
belen de escobar,buenos aires,-34.3333,-58.8167,0,,argentina__buenos aires f d__buenos aires__MSA
caseros,entre rios,-32.46325,-58.47872,2109,,argentina__entre rios__gualeguaychu__MSA
belgrano,buenos aires f d,-34.5627,-58.45829,138942,,argentina__buenos aires f d__buenos aires__MSA
lujan de cuyo,mendoza,-33.0355,-68.8778,0,,argentina__mendoza__mendoza__MSA
san miguel,buenos aires,-34.54335,-58.71229,157532,,argentina__buenos aires f d__buenos aires__MSA
garin,buenos aires,-34.4183,-58.7393,0,,argentina__buenos aires f d__buenos aires__MSA
san rafael,mendoza,-34.61772,-68.33007,109163,,argentina__mendoza__san rafael__MSA
burzaco,buenos aires,-34.8167,-58.3667,98859,,argentina__buenos aires f d__buenos aires__MSA
temperley,buenos aires,-34.7667,-58.3833,121451,,argentina__buenos aires f d__buenos aires__MSA
presidencia roque saenz pena,chaco,-26.78522,-60.43876,81879,,argentina__chaco__presidencia roque saenz pena__MSA
esteban echeverria,buenos aires,-34.8167,-58.4667,109644,,argentina__buenos aires f d__buenos aires__MSA
alvear,santa fe,-33.0667,-60.6167,0,,argentina__santa fe__rosario__MSA
wilde,buenos aires,-34.7,-58.3167,65881,,argentina__buenos aires f d__buenos aires__MSA
baradero,buenos aires,-33.8,-59.5167,28537,,argentina__buenos aires__zarate__MSA
isidro casanova,buenos aires,-34.7,-58.5833,190696,,argentina__buenos aires f d__buenos aires__MSA
villa adelina,buenos aires,-34.5175,-58.5475,35307,,argentina__buenos aires f d__buenos aires__MSA
olivos,buenos aires,-34.5075,-58.487,0,,argentina__buenos aires f d__buenos aires__MSA
ticino,cordoba,-32.6935,-63.43606,1895,,argentina__cordoba__villa maria__MSA
gobernador galvez,santa fe,-33.03016,-60.64045,74650,,argentina__santa fe__rosario__MSA
villa constitucion,santa fe,-33.22778,-60.3297,44271,,argentina__santa fe__rosario__MSA
ingeniero maschwitz,buenos aires,-34.3884,-58.7376,0,,argentina__buenos aires f d__buenos aires__MSA
obera,misiones,-27.48706,-55.11994,56528,,argentina__misiones__posadas__MSA
san salvador de jujuy,jujuy,-24.19457,-65.29712,305891,,argentina__salta__salta__MSA
trelew,chubut,-43.24895,-65.30505,93442,,argentina__chubut__trelew__MSA
resistencia,chaco,-27.46056,-58.98389,387158,,argentina__chaco__resistencia__MSA
neuquen,neuquen,-38.95161,-68.0591,242092,,argentina__neuquen__neuquen__MSA
san justo,buenos aires,-34.6833,-58.55,136604,,argentina__buenos aires f d__buenos aires__MSA
mendoza,mendoza,-32.89084,-68.82717,876884,,argentina__mendoza__mendoza__MSA
pilar,buenos aires,-34.45866,-58.9142,226517,,argentina__buenos aires f d__buenos aires__MSA
ciudadela,buenos aires,-34.6398,-58.5425,0,,argentina__buenos aires f d__buenos aires__MSA
general pacheco,buenos aires,-34.45256,-58.64312,43287,,argentina__buenos aires f d__buenos aires__MSA
buenos aires,buenos aires f d,-34.61315,-58.37723,13076300,,argentina__buenos aires f d__buenos aires__MSA
rio gallegos,santa cruz,-51.62261,-69.21813,85700,,argentina__santa cruz__rio gallegos__MSA
la plata,buenos aires,-34.92145,-57.95453,694167,,argentina__buenos aires f d__buenos aires__MSA
salta,salta,-24.7859,-65.41166,512686,,argentina__salta__salta__MSA
alta gracia,cordoba,-31.65292,-64.42826,40384,,argentina__cordoba__cordoba__MSA
concordia,entre rios,-31.39296,-58.02089,145210,,argentina__entre rios__concordia__MSA
cipolletti,rio negro,-38.93392,-67.99032,75078,,argentina__neuquen__neuquen__MSA
santa fe,santa fe,-31.64881,-60.70868,489505,,argentina__santa fe__santa fe__MSA
san juan,san juan,-31.5375,-68.53639,447048,,argentina__san juan__san juan__MSA
san miguel de tucuman,tucuman,-26.82414,-65.2226,781023,,argentina__tucuman__san miguel de tucuman__MSA
rosario,santa fe,-32.94682,-60.63932,1173533,,argentina__santa fe__rosario__MSA
buenos aires,buenos aires,-36.0,-60.0,15625084,,argentina__buenos aires__buenos aires__MSA
rio cuarto,cordoba,-33.13067,-64.34992,153757,,argentina__cordoba__rio cuarto__MSA
ituzaingo,buenos aires,-34.6582,-58.6672,135275,,argentina__buenos aires f d__buenos aires__MSA
cordoba,cordoba,-31.4135,-64.18105,1428214,,argentina__cordoba__cordoba__MSA
concepcion del uruguay,entre rios,-32.48463,-58.23217,67895,,argentina__entre rios__gualeguaychu__MSA
comodoro rivadavia,chubut,-45.86413,-67.49656,140850,,argentina__chubut__comodoro rivadavia__MSA
villa maria,cordoba,-32.40751,-63.24016,92453,,argentina__cordoba__villa maria__MSA
mar del plata,buenos aires,-38.00042,-57.5562,553935,,argentina__buenos aires__mar del plata__MSA
san martin,mendoza,-33.08103,-68.46814,82549,,argentina__mendoza__mendoza__MSA
city bell,buenos aires,-34.8746,-58.0577,0,,argentina__buenos aires f d__buenos aires__MSA
santa rosa,la pampa,-36.61667,-64.28333,111424,,argentina__la pampa__santa rosa__MSA
parana,entre rios,-31.73271,-60.52897,262295,,argentina__santa fe__santa fe__MSA
castelar,buenos aires,-34.65,-58.65,107786,,argentina__buenos aires f d__buenos aires__MSA
ushuaia,tierra del fuego,-54.81084,-68.31591,58028,,argentina__tierra del fuego__ushuaia__MSA
santo tome,santa fe,-31.66274,-60.7653,59072,,argentina__santa fe__santa fe__MSA
san fernando,buenos aires,-34.45,-58.5667,0,,argentina__buenos aires f d__buenos aires__MSA
arroyo seco,santa fe,-33.15489,-60.50863,20620,,argentina__santa fe__rosario__MSA
pergamino,buenos aires,-33.88995,-60.57357,87652,,argentina__buenos aires__pergamino__MSA
berazategui,buenos aires,-34.76531,-58.21278,167498,,argentina__buenos aires f d__buenos aires__MSA
bernal,buenos aires,-34.7,-58.2833,109914,,argentina__buenos aires f d__buenos aires__MSA
chivilcoy,buenos aires,-34.89566,-60.01667,54514,,argentina__buenos aires__chivilcoy__MSA
villa mercedes,san luis,-33.67571,-65.45783,96781,,argentina__san luis__villa mercedes__MSA
avellaneda,buenos aires,-34.6625,-58.3678,24313,,argentina__buenos aires f d__buenos aires__MSA
junin,buenos aires,-34.58382,-60.94332,85007,,argentina__buenos aires__junin__MSA
formosa,formosa,-26.18489,-58.17313,221383,,argentina__formosa__formosa__MSA
lomas del mirador,buenos aires,-34.6667,-58.5297,71479,,argentina__buenos aires f d__buenos aires__MSA
ramos mejia,buenos aires,-34.65,-58.5667,120346,,argentina__buenos aires f d__buenos aires__MSA
rafaela,santa fe,-31.25033,-61.4867,88713,,argentina__santa fe__rafaela__MSA
banfield,buenos aires,-34.75,-58.3833,223898,,argentina__buenos aires f d__buenos aires__MSA
maipu,mendoza,-32.9667,-68.75,0,,argentina__mendoza__mendoza__MSA
catamarca,catamarca,-28.46957,-65.78524,188812,,argentina__catamarca__catamarca__MSA
venado tuerto,santa fe,-33.74556,-61.96885,72340,,argentina__santa fe__venado tuerto__MSA
yerba buena,tucuman,-26.81667,-65.31667,50783,,argentina__tucuman__san miguel de tucuman__MSA
puerto madryn,chubut,-42.7692,-65.03851,64555,,argentina__chubut__trelew__MSA
el palomar,buenos aires,-34.5417,-58.6153,0,,argentina__buenos aires f d__buenos aires__MSA
azul,buenos aires,-36.77698,-59.85854,53941,,argentina__buenos aires__olavarria__MSA
esperanza,santa fe,-31.4488,-60.93173,35885,,argentina__santa fe__santa fe__MSA
vicente lopez,buenos aires,-34.5333,-58.475,22419,,argentina__buenos aires f d__buenos aires__MSA
general pico,la pampa,-35.65662,-63.75682,57029,,argentina__la pampa__general pico__MSA
san nicolas de los arroyos,buenos aires,-33.33425,-60.2108,127742,,argentina__santa fe__rosario__MSA
posadas,misiones,-27.36708,-55.89608,323739,,argentina__misiones__posadas__MSA
pinamar,buenos aires,-37.1,-56.85,45000,,argentina__buenos aires__NONMETROPOLITAN AREA
graneros,tucuman,-27.64934,-65.4383,5263,,argentina__tucuman__NONMETROPOLITAN AREA
gualeguay,entre rios,-33.14156,-59.30966,33120,,argentina__entre rios__NONMETROPOLITAN AREA
el calafate,santa cruz,-50.34075,-72.27682,8000,,argentina__santa cruz__NONMETROPOLITAN AREA
anelo,neuquen,-38.35441,-68.7884,1742,,argentina__neuquen__NONMETROPOLITAN AREA
general alvear,mendoza,-34.9667,-67.7,0,,argentina__mendoza__NONMETROPOLITAN AREA
casilda,santa fe,-33.04417,-61.16806,32002,,argentina__santa fe__NONMETROPOLITAN AREA
puerto deseado,santa cruz,-47.75034,-65.89382,10237,,argentina__santa cruz__NONMETROPOLITAN AREA
viedma,rio negro,-40.81345,-62.99668,48940,,argentina__rio negro__NONMETROPOLITAN AREA
puerto rico,misiones,-26.79598,-55.02402,17491,,argentina__misiones__NONMETROPOLITAN AREA
general san martin,buenos aires,-34.5667,-58.5333,0,,argentina__buenos aires__NONMETROPOLITAN AREA
esquel,chubut,-42.91147,-71.31947,28486,,argentina__chubut__NONMETROPOLITAN AREA
villa regina,rio negro,-39.1,-67.06667,31209,,argentina__rio negro__NONMETROPOLITAN AREA
perito moreno,santa cruz,-46.58995,-70.92975,3588,,argentina__santa cruz__NONMETROPOLITAN AREA
crespo,entre rios,-32.02873,-60.30658,18296,,argentina__entre rios__NONMETROPOLITAN AREA
villa gesell,buenos aires,-37.26394,-56.97304,23257,,argentina__buenos aires__NONMETROPOLITAN AREA
las heras,santa cruz,-46.54186,-68.93593,9303,,argentina__santa cruz__NONMETROPOLITAN AREA
trenque lauquen,buenos aires,-35.9667,-62.7,0,,argentina__buenos aires__NONMETROPOLITAN AREA
villa hernandarias,entre rios,-31.23097,-59.98464,5375,,argentina__entre rios__NONMETROPOLITAN AREA
san fernando,catamarca,-27.3333,-66.9167,0,,argentina__catamarca__NONMETROPOLITAN AREA
chacabuco,buenos aires,-34.64167,-60.47389,34587,,argentina__buenos aires__NONMETROPOLITAN AREA
canada de gomez,santa fe,-32.81636,-61.39493,36000,,argentina__santa fe__NONMETROPOLITAN AREA
andacollo,neuquen,-37.17945,-70.66912,2627,,argentina__neuquen__NONMETROPOLITAN AREA
federacion,entre rios,-31.00621,-57.89962,13789,,argentina__entre rios__NONMETROPOLITAN AREA
marcos juarez,cordoba,-32.6978,-62.10672,24226,,argentina__cordoba__NONMETROPOLITAN AREA
balcarce,buenos aires,-37.84616,-58.25522,38823,,argentina__buenos aires__NONMETROPOLITAN AREA
rio tercero,cordoba,-32.17301,-64.11405,53389,,argentina__cordoba__NONMETROPOLITAN AREA
tres arroyos,buenos aires,-38.37394,-60.27978,47136,,argentina__buenos aires__NONMETROPOLITAN AREA
montecarlo,misiones,-26.5662,-54.757,22229,,argentina__misiones__NONMETROPOLITAN AREA
caleta olivia,santa cruz,-46.43929,-67.52814,36077,,argentina__santa cruz__NONMETROPOLITAN AREA
el bolson,rio negro,-41.96051,-71.53336,15537,,argentina__rio negro__NONMETROPOLITAN AREA
villa la angostura,neuquen,-40.76173,-71.64631,7526,,argentina__neuquen__NONMETROPOLITAN AREA
plaza huincul,neuquen,-38.92598,-69.20863,12273,,argentina__neuquen__NONMETROPOLITAN AREA
arroyito,cordoba,-31.42022,-63.05002,19577,,argentina__cordoba__NONMETROPOLITAN AREA
jesus maria,cordoba,-30.98153,-64.09424,26825,,argentina__cordoba__NONMETROPOLITAN AREA
eldorado,misiones,-26.4,-54.6333,17365,,argentina__misiones__NONMETROPOLITAN AREA
rio grande,tierra del fuego,-53.78769,-67.70946,52681,,argentina__tierra del fuego__NONMETROPOLITAN AREA
sunchales,santa fe,-30.94404,-61.56148,18757,,argentina__santa fe__NONMETROPOLITAN AREA
san justo,santa fe,-30.78913,-60.59189,21809,,argentina__santa fe__NONMETROPOLITAN AREA
san martin de los andes,neuquen,-40.15789,-71.35337,23519,,argentina__neuquen__NONMETROPOLITAN AREA
federal,entre rios,-30.95465,-58.78326,16333,,argentina__entre rios__NONMETROPOLITAN AREA
puerto iguazu,misiones,-25.59912,-54.57355,32038,,argentina__misiones__NONMETROPOLITAN AREA
borneo,pichincha,-0.25,-79.1333,0,,ecuador__pichincha__quito__MSA
ventanas,los rios,-1.44158,-79.45943,38168,,ecuador__los rios__quevedo__MSA
samborondon,guayas,-1.96276,-79.72402,24118,,ecuador__guayas__guayaquil__MSA
loja,loja,-3.99313,-79.20422,117796,,ecuador__loja__loja__MSA
la troncal,canar,-2.42355,-79.33977,36353,,ecuador__guayas__guayaquil__MSA
pasaje,el oro,-3.32561,-79.80697,44860,,ecuador__el oro__machala__MSA
tulcan,carchi,0.81187,-77.71727,86498,,ecuador__carchi__tulcan__MSA
santa rosa,el oro,-3.44882,-79.95952,41816,,ecuador__el oro__machala__MSA
azogues,canar,-2.73969,-78.8486,34877,,ecuador__azuay__cuenca__MSA
santa elena,santa elena,-2.22622,-80.85873,42214,,ecuador__santa elena__salinas__MSA
portoviejo,manabi,-1.05458,-80.45445,170326,,ecuador__manabi__manta__MSA
eloy alfaro,guayas,-2.17579,-79.85519,167784,,ecuador__guayas__guayaquil__MSA
daule,guayas,-1.8667,-79.9833,65145,,ecuador__guayas__guayaquil__MSA
tumbaco,pichincha,-0.214,-78.4049,0,,ecuador__pichincha__quito__MSA
salinas,santa elena,-2.21452,-80.95151,43862,,ecuador__santa elena__salinas__MSA
posorja,guayas,-2.7101,-80.2456,0,,ecuador__guayas__guayaquil__MSA
otavalo,imbabura,0.23457,-78.26248,32330,,ecuador__pichincha__quito__MSA
naranjal,guayas,-2.67364,-79.6183,32045,,ecuador__guayas__guayaquil__MSA
montecristi,manabi,-1.04576,-80.65889,18351,,ecuador__manabi__manta__MSA
milagro,guayas,-2.13404,-79.59415,133508,,ecuador__guayas__guayaquil__MSA
manta,manabi,-0.96212,-80.71271,183166,,ecuador__manabi__manta__MSA
cuenca,azuay,-2.90055,-79.00453,276964,,ecuador__azuay__cuenca__MSA
sangolqui,pichincha,-0.33405,-78.45217,5114,,ecuador__pichincha__quito__MSA
latacunga,cotopaxi,-0.93521,-78.61554,51717,,ecuador__pichincha__quito__MSA
riobamba,chimborazo,-1.67098,-78.64712,124478,,ecuador__tungurahua__ambato__MSA
cumbaya,pichincha,-0.2007,-78.4313,0,,ecuador__pichincha__quito__MSA
ambato,tungurahua,-1.24908,-78.61675,154369,,ecuador__tungurahua__ambato__MSA
guayaquil,guayas,-2.19616,-79.88621,1952029,,ecuador__guayas__guayaquil__MSA
san miguel de salcedo,cotopaxi,-1.04547,-78.59063,10838,,ecuador__tungurahua__ambato__MSA
machala,el oro,-3.25861,-79.96053,198123,,ecuador__el oro__machala__MSA
quito,pichincha,-0.22985,-78.52495,1399814,,ecuador__pichincha__quito__MSA
machachi,pichincha,-0.51011,-78.56712,25742,,ecuador__pichincha__quito__MSA
amaguana,pichincha,-0.3757,-78.5061,0,,ecuador__pichincha__quito__MSA
quevedo,los rios,-1.02863,-79.46352,119436,,ecuador__los rios__quevedo__MSA
ibarra,imbabura,0.35171,-78.12233,132977,,ecuador__pichincha__quito__MSA
babahoyo,los rios,-1.80217,-79.53443,76279,,ecuador__guayas__guayaquil__MSA
esmeraldas,esmeraldas,0.9592,-79.65397,165216,,ecuador__esmeraldas__esmeraldas__MSA
macas,morona santiago,-2.30868,-78.11135,23687,,ecuador__morona santiago__NONMETROPOLITAN AREA
cayambe,pichincha,0.04084,-78.14524,26582,,ecuador__pichincha__NONMETROPOLITAN AREA
jipijapa,manabi,-1.34872,-80.57875,35901,,ecuador__manabi__NONMETROPOLITAN AREA
puerto francisco de orellana,orellana,-0.46645,-76.98719,48144,,ecuador__orellana__NONMETROPOLITAN AREA
chone,manabi,-0.69819,-80.09361,44751,,ecuador__manabi__NONMETROPOLITAN AREA
guaranda,bolivar,-1.59263,-79.00098,22199,,ecuador__bolivar__NONMETROPOLITAN AREA
puyo,pastaza,-1.48369,-78.00257,24881,,ecuador__pastaza__NONMETROPOLITAN AREA
tena,napo,-0.9938,-77.81286,17172,,ecuador__napo__NONMETROPOLITAN AREA
guanare,portuguesa,9.04183,-69.74206,194688,,venezuela__barinas__barinas__MSA
araure,portuguesa,9.58144,-69.23851,181820,,venezuela__lara__barquisimeto__MSA
charallave,miranda,10.24247,-66.85723,129182,,venezuela__distrito federal__caracas__MSA
moron,carabobo,10.48715,-68.20078,68084,,venezuela__aragua__maracay__MSA
cojedes,cojedes,9.6167,-68.9167,0,,venezuela__lara__barquisimeto__MSA
turmero,aragua,10.22856,-67.47421,344700,,venezuela__distrito federal__caracas__MSA
cumana,sucre,10.45397,-64.18256,424822,,venezuela__anzoategui__barcelona__MSA
chacao,miranda,10.49581,-66.85367,64609,,venezuela__distrito federal__caracas__MSA
caracas,distrito capital,10.5,-66.9333,1943901,,venezuela__distrito federal__caracas__MSA
