city,state,latitude,longitude,population,msa,new_msa
gentofte,hovedstaden,55.749,12.546,0,,denmark__capital region__copenhagen__MSA
kolding,south denmark,55.4904,9.47216,55363,,denmark__south denmark__odense__MSA
hellerup,hovedstaden,55.739,12.577,0,,denmark__capital region__copenhagen__MSA
roskilde,zealand,55.64152,12.08035,44285,,denmark__capital region__copenhagen__MSA
horsens,central jutland,55.86066,9.85034,58646,,denmark__central jutland__arhus__MSA
ballerup,capital region,55.73165,12.36328,40000,,denmark__capital region__copenhagen__MSA
randers,central jutland,56.4607,10.03639,55780,,denmark__central jutland__arhus__MSA
billund,south denmark,55.73349,9.10785,6160,,denmark__south denmark__esbjerg__MSA
hillerød,capital region,55.92791,12.30081,30853,,denmark__capital region__copenhagen__MSA
hvidovre,capital region,55.65719,12.47364,49380,,denmark__capital region__copenhagen__MSA
vejle,south denmark,55.70927,9.5357,51177,,denmark__central jutland__arhus__MSA
aalborg,north denmark,57.048,9.9187,122219,,denmark__north denmark__aalborg__MSA
viby,zealand,55.54872,12.02391,4727,,denmark__capital region__copenhagen__MSA
odense,south denmark,55.39594,10.38831,145931,,denmark__south denmark__odense__MSA
copenhagen,capital region,55.67594,12.56553,1153615,,denmark__capital region__copenhagen__MSA
arhus,central jutland,56.15674,10.21076,237551,,denmark__central jutland__arhus__MSA
esbjerg,south denmark,55.47028,8.45187,72205,,denmark__south denmark__esbjerg__MSA
aarhus,midtjylland,56.1572,10.2107,237551,,denmark__central jutland__arhus__MSA
vanløse,capital region,55.68361,12.48713,37115,,denmark__capital region__copenhagen__MSA
skejby,midtjylland,56.2007,10.1751,0,,denmark__central jutland__arhus__MSA
odder,central jutland,55.97313,10.153,11009,,denmark__central jutland__arhus__MSA
haderslev,south denmark,55.24943,9.48771,20825,,denmark__south denmark__odense__MSA
nordborg,south denmark,55.05732,9.7408,5758,,denmark__south denmark__odense__MSA
greve,zealand,55.58333,12.3,47671,,denmark__capital region__copenhagen__MSA
brabrand,midtjylland,56.1513,10.1186,0,,denmark__central jutland__arhus__MSA
guderup,south denmark,54.98978,9.87174,2394,,denmark__south denmark__odense__MSA
hasselager,central jutland,56.10555,10.10003,7437,,denmark__central jutland__arhus__MSA
bjerringbro,central jutland,56.37797,9.66065,7390,,denmark__central jutland__arhus__MSA
hørsholm,capital region,55.88098,12.50111,36670,,denmark__capital region__copenhagen__MSA
sorø,zealand,55.43184,11.55547,7167,,denmark__capital region__copenhagen__MSA
ringe,south denmark,55.23828,10.4786,4849,,denmark__south denmark__odense__MSA
brønderslev,north denmark,57.27021,9.94102,11671,,denmark__north denmark__aalborg__MSA
langeskov,south denmark,55.35655,10.58447,4152,,denmark__south denmark__odense__MSA
karup,central jutland,56.30673,9.16835,2176,,denmark__central jutland__arhus__MSA
taastrup,capital region,55.65006,12.3016,30977,,denmark__capital region__copenhagen__MSA
ringsted,zealand,55.4426,11.79011,20188,,denmark__capital region__copenhagen__MSA
vallensbæk,capital region,55.62199,12.38511,13500,,denmark__capital region__copenhagen__MSA
struer,central jutland,56.49205,8.59397,11317,,denmark__central jutland__holstebro__MSA
kerteminde,south denmark,55.44903,10.65769,5748,,denmark__south denmark__odense__MSA
korsør,zealand,55.32993,11.13857,14516,,denmark__south denmark__odense__MSA
holstebro,central jutland,56.36009,8.61607,32072,,denmark__central jutland__holstebro__MSA
holbæk,zealand,55.7175,11.71279,24544,,denmark__capital region__copenhagen__MSA
albertslund,capital region,55.65691,12.36381,30000,,denmark__capital region__copenhagen__MSA
humlebæk,capital region,55.9618,12.5341,8965,,denmark__capital region__copenhagen__MSA
middelfart,south denmark,55.50591,9.73054,13596,,denmark__central jutland__arhus__MSA
risskov,midtjylland,56.1972,10.248,0,,denmark__central jutland__arhus__MSA
slagelse,zealand,55.40276,11.35459,31896,,denmark__south denmark__odense__MSA
frederikssund,capital region,55.83956,12.06896,14564,,denmark__capital region__copenhagen__MSA
alestrup,north denmark,56.6947,9.49336,2740,,denmark__north denmark__NONMETROPOLITAN AREA
tarm,central jutland,55.90861,8.53041,4016,,denmark__central jutland__NONMETROPOLITAN AREA
nykøbing sjælland,zealand,55.92491,11.67109,5596,,denmark__zealand__NONMETROPOLITAN AREA
tinglev,south denmark,54.93788,9.25547,2721,,denmark__south denmark__NONMETROPOLITAN AREA
løkken,north denmark,57.37047,9.71466,8828,,denmark__north denmark__NONMETROPOLITAN AREA
løgumkloster,south denmark,55.05941,8.95508,3550,,denmark__south denmark__NONMETROPOLITAN AREA
humble,south denmark,54.82972,10.69961,619,Houston-Sugar Land-Baytown TX MSA,denmark__south denmark__NONMETROPOLITAN AREA
mariager,north denmark,56.64985,9.97515,2539,,denmark__north denmark__NONMETROPOLITAN AREA
hanstholm,north denmark,57.11548,8.6172,2083,,denmark__north denmark__NONMETROPOLITAN AREA
skagen,north denmark,57.72093,10.58394,7664,,denmark__north denmark__NONMETROPOLITAN AREA
ølgod,south denmark,55.80682,8.62859,3779,,denmark__south denmark__NONMETROPOLITAN AREA
svinninge,zealand,55.88306,11.60991,2808,,denmark__zealand__NONMETROPOLITAN AREA
frederikshavn,north denmark,57.44073,10.53661,24103,,denmark__north denmark__NONMETROPOLITAN AREA
viborg,central jutland,56.45319,9.40201,34831,,denmark__central jutland__NONMETROPOLITAN AREA
hjørring,north denmark,57.46417,9.98229,24634,,denmark__north denmark__NONMETROPOLITAN AREA
kongens lyngby,capital region,55.77044,12.50378,10600,,denmark__capital region__NONMETROPOLITAN AREA
svendborg,south denmark,55.05982,10.60677,27553,,denmark__south denmark__NONMETROPOLITAN AREA
grenaa,central jutland,56.41578,10.87825,14317,,denmark__central jutland__NONMETROPOLITAN AREA
rødekro,south denmark,55.07076,9.33531,5950,,denmark__south denmark__NONMETROPOLITAN AREA
vordingborg,zealand,55.00801,11.91057,12014,,denmark__zealand__NONMETROPOLITAN AREA
assens,south denmark,55.27023,9.90081,6053,,denmark__south denmark__NONMETROPOLITAN AREA
rødbyhavn,zealand,54.65944,11.35504,1586,,denmark__zealand__NONMETROPOLITAN AREA
